#iteration|nodeId|similarity
before|220|5.7169923E-4
before|515|2.5928934E-4
before|1539|9.544272E-5
before|82|5.208017E-4
before|276|6.0581875E-5
before|333|6.908947E-5
before|359|1.6255227E-4
before|521|8.077583E-5
before|530|8.065194E-5
before|791|3.606767E-5
before|1516|3.6007626E-5
before|237|5.9090124E-4
before|232|4.4874392E-5
before|228|3.325E-4
before|292|1.07944536E-4
before|436|1.7922331E-4
before|89|4.6145907E-4
before|111|5.9016934E-4
before|370|3.7310325E-4
before|415|3.6395434E-4
before|797|6.4813634E-5
before|102|1.60325E-4
before|641|5.629197E-5
before|908|3.1140167E-4
before|1666|2.8906312E-5
before|471|1.8877519E-4
before|480|4.587902E-4
before|100|0.001025408
before|363|7.2976494E-5
before|488|1.7813568E-4
before|794|1.8321213E-4
before|862|5.894925E-5
before|98|0.0012317941
before|400|8.51101E-5
before|944|2.0481611E-4
before|1080|6.187967E-5
before|1721|3.1402633E-5
before|99|2.214887E-4
before|199|3.8159933E-4
before|284|1.823319E-4
before|589|1.8285711E-4
before|704|5.5769935E-5
before|96|6.16103E-4
before|138|2.1192161E-4
before|636|8.9667825E-5
before|902|1.9212393E-4
before|720|3.205714E-4
before|580|7.641741E-5
before|681|5.2597275E-4
before|1633|1.6521544E-5
before|106|1.8180397E-5
before|1181|2.6476077E-5
before|105|3.3679977E-4
before|156|3.390416E-4
before|1361|1.9737278E-4
before|217|5.4439002E-5
before|670|4.3869015E-5
before|725|3.7138833E-4
before|987|1.9779713E-4
before|119|0.0014298738
before|249|3.2814546E-4
before|279|1.6297247E-4
before|328|0.007888464
before|479|9.495789E-5
before|116|7.5850845E-4
before|943|2.7962928E-5
before|1387|8.633505E-5
before|132|3.7458938E-4
before|710|1.5859038E-4
before|112|2.4309264E-5
before|125|2.6665087E-4
before|391|1.2507463E-4
before|450|1.3888597E-4
before|693|1.962534E-4
before|174|3.92785E-5
before|1229|2.9938537E-4
before|141|6.1543117E-4
before|259|1.7228091E-4
before|306|3.283638E-4
before|482|3.454449E-5
before|546|5.44791E-5
before|140|1.3970507E-4
before|130|4.0022406E-4
before|161|2.95929E-4
before|773|1.8618183E-4
before|946|2.8906312E-5
before|142|1.57984E-4
before|312|1.4819345E-4
before|567|1.9737278E-4
before|620|1.1833766E-4
before|675|3.35873E-5
before|133|1.8794058E-4
before|296|2.4309264E-5
before|335|7.641741E-5
before|583|2.4872436E-4
before|1053|2.2800577E-4
before|152|6.4813634E-5
before|189|2.775349E-4
before|362|1.0973537E-4
before|470|9.242553E-5
before|945|5.241322E-5
before|596|1.2655983E-4
before|1086|1.60325E-4
before|298|8.9667825E-5
before|674|7.5335636E-5
before|887|8.997292E-5
before|166|3.3940526E-4
before|207|1.5399078E-4
before|320|6.806603E-5
before|410|3.7583258E-4
before|145|1.2608082E-4
before|274|1.6453219E-4
before|988|6.308426E-5
before|511|9.229405E-5
before|542|6.187967E-5
before|1442|2.048727E-4
before|172|0.003483504
before|541|8.0574195E-5
before|277|0.0011011808
before|919|3.6007626E-5
before|999|5.44791E-5
before|971|4.6787874E-5
before|160|0.0013922642
before|375|7.663742E-5
before|167|2.6324907E-4
before|766|1.3439434E-4
before|305|4.7430155E-4
before|621|6.908947E-5
before|380|6.2209147E-4
before|413|3.9464405E-5
before|892|1.6709277E-4
before|1389|4.3869015E-5
before|213|3.494528E-4
before|1693|7.64385E-5
before|216|1.1342183E-4
before|187|1.9098223E-4
before|270|0.0033485545
before|294|4.8659602E-4
before|223|3.606767E-5
before|200|3.0342521E-4
before|350|8.077583E-5
before|696|1.8877519E-4
before|222|5.571949E-5
before|399|3.6757402E-4
before|433|3.268218E-5
before|1150|1.6636855E-4
before|1239|6.187967E-5
before|182|1.1891175E-4
before|825|1.8180397E-5
before|1157|8.727261E-5
before|346|2.255973E-4
before|376|1.7703335E-4
before|409|3.199289E-4
before|465|1.7035076E-5
before|448|1.3826972E-4
